# Reynolds number time series
# <Re(t)> averaged between 200.000000 and 250.000000 with sampling frequency 0.500000
# time		 Re_uMag(t)	 <Re_uMag(t)>	 Re_uxMag(t)	 <Re_uxMag(t)>	 Re_uzMag(t)	 <Re_uzMag(t)>	  Re_uRMS(t)	 <Re_uRMS(t)>	 Re_uxRMS(t)	 <Re_uxRMS(t)>	 Re_uzRMS(t)	 <Re_uzRMS(t)>	 
216.000000	 59936.734899	 55035.745374	 40519.907370	 42926.320301	 46278.089599	 44305.749341	 67856.132998	 60535.128807	 46919.335527	 50089.372406	 55239.493822	 51388.284304	 
216.500000	 57931.890809	 55120.761393	 40419.527936	 42655.951610	 44990.210170	 44318.500420	 65919.216205	 60693.358916	 45881.003833	 49715.873451	 54177.032057	 51469.091556	 
217.000000	 55384.991172	 55127.943235	 41139.796207	 42435.810460	 43573.341017	 44269.049102	 62430.349513	 60740.138835	 47126.791045	 49392.082746	 51521.751623	 51440.018714	 
217.500000	 52712.465267	 55056.157640	 41572.720215	 42279.191296	 42878.673328	 44143.744223	 58364.151698	 60671.332498	 47661.780131	 49145.886968	 51193.431963	 51308.451127	 
218.000000	 51632.394000	 54923.857784	 40139.517522	 42151.905052	 42170.333970	 43944.112635	 57958.688314	 60514.056211	 47523.067066	 48943.880430	 51922.996881	 51096.377338	 
218.500000	 52125.650722	 54773.970190	 41188.114386	 42008.775646	 41297.022628	 43693.329806	 57991.246230	 60355.192746	 48878.114616	 48739.341708	 49909.064107	 50858.773981	 
219.000000	 50292.303628	 54632.922757	 41903.430091	 41815.007871	 40655.421501	 43405.301408	 57126.165591	 60213.537457	 49960.457626	 48497.574902	 48122.393137	 50581.668344	 
219.500000	 51259.416352	 54449.209133	 42404.501868	 41676.413672	 39943.231007	 43094.248418	 57999.757321	 60020.442645	 50362.669398	 48285.056548	 46825.062043	 50243.057804	 
220.000000	 52144.131772	 54233.297169	 41484.925649	 41555.154136	 39289.572759	 42766.096953	 59697.565893	 59767.364099	 49573.876486	 48130.651181	 46753.944845	 49851.494483	 
220.500000	 49477.261971	 53996.092262	 38568.531563	 41483.334391	 38859.919690	 42452.682627	 57135.478938	 59486.449578	 47811.591051	 48037.357200	 47148.817867	 49448.917154	 
221.000000	 51339.683701	 53748.931499	 39509.774393	 41434.358743	 38055.751875	 42158.053922	 59623.309048	 59194.435092	 49496.838036	 47981.796566	 46847.564417	 49068.275788	 
221.500000	 52915.105405	 53497.107270	 41035.539569	 41394.562439	 36875.436062	 41885.396023	 62654.926324	 58897.582895	 53447.002075	 47920.339253	 46680.973619	 48729.238439	 
222.000000	 53054.636539	 53265.040602	 43370.455975	 41374.022212	 37096.023331	 41635.906311	 63208.137244	 58618.652399	 55109.198085	 47881.173577	 46964.309947	 48419.532906	 
222.500000	 53174.380939	 53067.528841	 43405.171388	 41395.494892	 37878.918998	 41385.362821	 62495.225813	 58385.153517	 53549.397962	 47911.053003	 47255.533784	 48137.165170	 
223.000000	 54272.999310	 52882.147572	 44767.626136	 41358.298178	 38909.786835	 41130.846059	 62786.696820	 58181.534894	 54819.338278	 47866.524256	 45428.786467	 47885.494993	 
223.500000	 53091.726054	 52712.250724	 45404.913331	 41260.969741	 38896.293121	 40878.506646	 61580.454574	 57996.502247	 55705.224109	 47774.553052	 44374.554431	 47654.858889	 
224.000000	 52135.618988	 52525.877589	 40736.505001	 41170.928160	 38196.699690	 40637.272430	 60212.896484	 57797.203112	 51191.012831	 47719.833435	 45920.571246	 47409.362338	 
224.500000	 52108.066326	 52339.107290	 41177.403609	 41083.353763	 37886.222041	 40419.513672	 61285.926495	 57580.360497	 51340.796880	 47666.210088	 44043.244543	 47172.275096	 
